title,journal,authors,doi,published,abstract,url,tags
Heavy quark radiation in an anisotropic hot QCD medium,,"[{'name': 'Jai Prakash'}, {'name': 'Vinod Chandra'}, {'name': 'Santosh K. Das'}]",,2023-06-13T17:59:05Z,"The impact of momentum anisotropy on the heavy quarks (HQs) dynamics has been
investigated in a hot QCD medium while considering both collisional and
radiative processes within the ambit of the Fokker-Planck approach. The
relative orientation of the HQs motion (momentum vector) with respect to the
direction of anisotropy is responsible for the character of transport
coefficients. Therefore, the drag and diffusion coefficients of the HQs are
decomposed, respectively, into two and four components by considering a general
tensor basis. Each component of the drag and diffusion coefficient of the HQs
has been analyzed in detail. It is observed that the anisotropy has a
significant impact on the transport coefficients of the HQ for both the
collisional and the radiational processes. The nuclear suppression factor,
$R_{AA}$, has been computed considering the anisotropic medium. It is observed
that the momentum anisotropy affects the $R_{AA}$ of the HQs significantly in
both elastic and inelastic cases.",http://arxiv.org/abs/2306.07966v1,"[{'term': 'hep-ph', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'nucl-th', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
Electron Localization in Rydberg States,"Acta Phys. Pol. A 143(6), S140 (2023)","[{'name': 'Jan Mostowski'}, {'name': 'Joanna Pietraszewicz'}]",10.12693/APhysPolA.143.S140,2023-06-13T17:45:28Z,"We discuss the possibility of localizing an electron in a highly excited
Rydberg state. The second-order correlation of emitted photons is the tool for
the determination of electron position. This second-order correlation of
emitted radiation and, therefore, the correlation of operators describing the
acceleration of the electron allows for a partial localization of the electron
in its orbit. The correlation function is found by approximating the transition
matrix elements by their values in the classical limit. It is shown that the
second-order correlation, depending on two times, is a function of the time
difference and is a periodic function of this argument with the period equal to
the period of the corresponding classical motion. The function has sharp maxima
corresponding to large electron acceleration in the vicinity of the
``perihelion.'' This allows the localization of the electron in its consecutive
approach to the perihelion point.",http://arxiv.org/abs/2306.07950v1,"[{'term': 'quant-ph', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
"JCCS-PFGM: A Novel Circle-Supervision based Poisson Flow Generative
  Model for Multiphase CECT Progressive Low-Dose Reconstruction with Joint
  Condition",,"[{'name': 'Rongjun Ge'}, {'name': 'Yuting He'}, {'name': 'Cong Xia'}, {'name': 'Yang Chen'}, {'name': 'Daoqiang Zhang'}, {'name': 'Ge Wang'}]",,2023-06-13T14:56:48Z,"Multiphase contrast-enhanced computed tomography (CECT) scan is clinically
significant to demonstrate the anatomy at different phases. In practice, such a
multiphase CECT scan inherently takes longer time and deposits much more
radiation dose into a patient body than a regular CT scan, and reduction of the
radiation dose typically compromise the CECT image quality and its diagnostic
value. With Joint Condition and Circle-Supervision, here we propose a novel
Poisson Flow Generative Model (JCCS-PFGM) to promote the progressive low-dose
reconstruction for multiphase CECT. JCCS-PFGM is characterized by the following
three aspects: a progressive low-dose reconstruction scheme, a
circle-supervision strategy, and a joint condition mechanism. Our extensive
experiments are performed on a clinical dataset consisting of 11436 images. The
results show that our JCCS-PFGM achieves promising PSNR up to 46.3dB, SSIM up
to 98.5%, and MAE down to 9.67 HU averagely on phases I, II and III, in
quantitative evaluations, as well as gains high-quality readable visualizations
in qualitative assessments. All of these findings reveal our method a great
potential to be adapted for clinical CECT scans at a much-reduced radiation
dose.",http://arxiv.org/abs/2306.07824v1,"[{'term': 'eess.IV', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
"Free Energy of Coupled Oscillators: Lamb Shifts and van der Waals
  Interactions","Acta Physica Polonica A 143, S78 (2023)",[{'name': 'Peter W. Milonni'}],10.12693/APhysPolA.143.S78,2023-06-13T13:09:31Z,"The Helmholtz free energy of oscillators in thermal equilibrium with
electromagnetic radiation is obtained from the Pauli-Hellmann-Feynman theorem
and applied to some aspects of Lamb shifts and van der Waals interactions.",http://arxiv.org/abs/2306.07750v1,"[{'term': 'quant-ph', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
How to cross an energy barrier at zero Kelvin without tunneling effect,,"[{'name': 'Seiji Miyashita'}, {'name': 'Bernard Barbara'}]",,2023-06-13T12:32:05Z,"This paper deals with the broad class of magnetic systems having a single or
collective spin $S$ with an energy barrier, such as Rare-Earth elements and
their compounds, Single Molecule Magnets with uniaxial anisotropy and more
generally any other quantum system made of single or multiple objects with
discrete energy levels. Till now, the reversal of the magnetization of such
systems at zero Kelvin required to make use of quantum tunneling with a
significant transverse field or transverse anisotropy term, at resonance. Here,
we show that another very simple method exists. It simply consists in the
application of a particular sequence of electromagnetic radiations in the
ranges of optical or microwave frequencies, depending on the characteristics of
the system (spin and anisotropy values for magnetic systems). This produces
oscillations of the Rabi type that pass above the barrier, thus extending these
oscillations between the two energy wells. with mixtures of all the 2S+1
states. In addition to its basic character, this approach opens up new
directions of research in quantum information with possible breakthroughs in
the current use of multiple quantum bits.",http://arxiv.org/abs/2306.07729v1,"[{'term': 'quant-ph', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'cond-mat.mes-hall', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
An observer's perspective of the Unruh and Hawking effects,,[{'name': 'Satish Ramakrishna'}],,2023-06-13T10:55:12Z,"The Unruh effect is one of the first calculations of what one would see when
transiting between an inertial reference frame with its quantum field vacuum
state and a non-inertial (specifically, uniformly accelerating) reference
frame. The inertial reference frame's vacuum state would not correspond to the
vacuum state of the non-inertial frame and the observer in that frame would see
radiation, with a corresponding Bose distribution and a temperature
proportional to the acceleration (in natural units).
  In this paper, I compute the response of this non-inertial observer to a
single frequency mode in the inertial frame and deduce that, indeed, the
cumulative distribution (over the observer's proper time) of frequencies
observed by the accelerating observer would be the Bose distribution with a
temperature proportional to the acceleration. The conclusion is that the Unruh
effect (and the related Hawking effect) is generic, in that it would appear
with any incoming incoherent state and the Bose distribution is obtained as a
consequence of the non-inertial frame's motion, rather than some special
property of the quantum vacuum.",http://arxiv.org/abs/2306.07683v2,"[{'term': 'gr-qc', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'hep-th', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
"3D-Printed Sheet Jet for Stable Megahertz Liquid Sample Delivery at
  X-ray Free Electron Lasers",,"[{'name': 'Patrick E. Konold'}, {'name': 'Tong You'}, {'name': 'Johan Bielecki'}, {'name': 'Joana Valerio'}, {'name': 'Marco Kloos'}, {'name': 'Daniel Westphal'}, {'name': 'Alfredo Bellisario'}, {'name': 'Tej Varma'}, {'name': 'August Wolter'}, {'name': 'Jayanath C. P. Koliyadu'}, {'name': 'Faisal H. M. Koua'}, {'name': 'Romain Letrun'}, {'name': 'Adam Round'}, {'name': 'Tokushi Sato'}, {'name': 'Petra Mésźaros'}, {'name': 'Leonardo Monrroy'}, {'name': 'Jennifer Mutisya'}, {'name': 'Szabolcs Bódizs'}, {'name': 'Taru Larkiala'}, {'name': 'Amke Nimmrich'}, {'name': 'Roberto Alvarez'}, {'name': 'Richard Bean'}, {'name': 'Tomas Ekeberg'}, {'name': 'Richard A. Kirian'}, {'name': 'Sebastian Westenhoff'}, {'name': 'Filipe R. N. C. Maia'}]",,2023-06-13T08:51:43Z,"X-ray Free Electron Lasers (XFELs) can probe chemical and biological
reactions as they unfold with unprecedented spatial and temporal resolution. A
principal challenge in this pursuit is the delivery of samples to the X-ray
interaction point in a way that produces data of the highest possible quality
and efficiency. This is hampered by constraints posed by the light source and
operation within a beamline environment. For liquid samples, the solution
typically involves a high-speed liquid jet, capable of keeping up with the rate
of X-ray pulses. However, conventional jets are not ideal because of
radiation-induced explosions of the jet, as well as their cylindrical geometry
combined with the X-ray pointing instability of many beamlines causes the
interaction volume to differ for every pulse. This complicates data analysis
and contributes to measurement errors. An alternative geometry is a liquid
sheet jet which, with its constant thickness over large areas, eliminates the
X-ray pointing related problems. Since liquid sheets can be made very thin, the
radiation-induced explosion is reduced, boosting their stability. They are
especially attractive for experiments which benefit from small interaction
volumes such as fluctuation X-ray scattering and several types of spectroscopy.
Although they have seen increasing use for soft X-ray applications in recent
years, there has not yet been wide-scale adoption at XFELs. Here, we
demonstrate liquid sheet jet sample injection at the European XFEL. We evaluate
several aspects of its performance relative to a conventional liquid jet
including thickness profile, stability, and radiation-induced explosion
dynamics at high repetition rates. The sheet jet exhibits superior performance
across these critical experimental parameters. Its minute thickness also
suggests ultrafast single-particle solution scattering is a possibility.",http://arxiv.org/abs/2306.07626v1,"[{'term': 'physics.ins-det', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'physics.app-ph', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'physics.bio-ph', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
"Combined two-loop self-energy corrections at finite and zero
  temperatures",,"[{'name': 'T. Zalialiutdinov'}, {'name': 'D. Solovyev'}]",,2023-06-13T08:03:23Z,"In this paper we investigate higher-order corrections to the energies of
bound states in hydrogen subjected to the external blackbody radiation field.
In particular, within the framework of thermal quantum electrodynamics and
$S$-matrix approach we analyze combined type of two-loop self-energy
corrections, including one zero-vacuum and one loop at finite temperature. By
utilizing the method of dimensional regularization, we derive closed analytical
expressions for the energy shifts of atomic levels. Our numerical calculations
demonstrate that even at room temperature these corrections can be significant
for excited states, reaching the magnitude of the thermal induced Stark
contribution.",http://arxiv.org/abs/2306.07606v1,"[{'term': 'physics.atom-ph', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
"Post-inflationary Contamination of Local Primordial Non-Gaussianity in
  Galaxy Power Spectra",,"[{'name': 'Charuhas Shiveshwarkar'}, {'name': 'Thejs Brinckmann'}, {'name': 'Marilena Loverde'}, {'name': 'Matthew McQuinn'}]",,2023-06-13T03:11:18Z,"The scale-dependent bias of galaxy density contrasts is an important signal
to be extracted in constraining local primordial non-Gaussianity ($f_{\rm
NL}^{\text{local}}$) from observations of large-scale structure. Constraints so
obtained rely on the assumption that horizon-scale features in the galaxy power
spectrum are exclusively due to primordial physical mechanisms. Yet,
post-inflationary effects can induce modulations to the galaxy number density
that appear as horizon-scale, scale-dependent bias. We investigate the effect
of two such sources of scale-dependent bias - the free-streaming of light
relics and fluctuations in the background of ionising radiation - on precision
measurements of local primordial non-Gaussianity $f_{\rm NL}^{\text{local}}$
from galaxy power spectrum measurements. Using the SPHEREx survey as a test
case survey reaching $\sigma(f_{\rm NL}^{\rm local}) \lesssim 1$, we show that
ignoring the scale-dependent bias induced by free-streaming particles can
negatively bias the inferred value of $f_{\rm NL}^{\rm local}$ by $\sim
0.1-0.3\sigma$. Ignoring the effect of ionising radiation fluctuations can
negatively bias the inferred value of $f_{\rm NL}^{\rm local}$ by $ \sim
1\sigma$. The range of biases depends on the source populations and the ranges
of scales used in the analysis, as well as the value of the neutrino mass and
the modelling of the impact of ionising radiation. If these sources of
scale-dependent bias are included in the analysis, forecasts for $f_{\rm
NL}^{\rm local}$ are unbiased but degraded.",http://arxiv.org/abs/2306.07517v1,"[{'term': 'astro-ph.CO', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
The Progenitors of Superluminous Type Ia Supernovae,,"[{'name': 'Margot Fitz Axen'}, {'name': 'Peter Nugent'}]",,2023-06-12T21:16:59Z,"Recent observations of type Ia supernovae (SNe Ia) have discovered a subclass
of 'super-Chandrasekhar' SNe Ia (SC SNe Ia) whose high luminosities and low
ejecta velocities suggest that they originate from the explosions of white
dwarfs (WDs) with masses that exceed the Chandrasekhar mass limit. Different
models have been proposed to explain the progenitors of these explosions,
including a 'magnetized WD' model and a 'WD merger' model. To test the
robustness of these models, we conduct a 1D numerical parameter survey of WD
explosions using these models as initial conditions. We follow the explosions
using the hydrodynamics code Castro and then use the radiation transport code
SuperNu to create light curves and spectra for the models. We find that while
both classes of models fall within the range of SC SNe Ia observations on the
light curve width-luminosity relation, only the WD merger models reproduce the
observed low ejecta velocities. The light curves of our merger models are more
similar photometrically to observations than our magnetized models. Given this,
we discuss possible explanations for the brightest SC SNe Ia observations that
cannot be reproduced with our WD merger models. This study provides the basis
for future SC SNe Ia observations and higher-dimensional numerical models.",http://arxiv.org/abs/2306.07430v2,"[{'term': 'astro-ph.SR', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'astro-ph.CO', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'astro-ph.HE', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
