title,journal,authors,doi,published,abstract,url,tags
"Atmospheric chemistry of 2-nitrobenzaldehyde: Initiated by photo-excitation, OH-oxidation, and small TiO<inf>2</inf> clusters adsorption catalysis",Journal,Bai F.Y.,10.1016/j.jes.2023.05.008,2024,"The fate of 2-nitrobenzaldehyde (2-NBA) is of interest in atmospheric chemistry as it is a semi-volatile organic compound with high photosensitivity. This study presents a quantum chemical study of the gas-phase reactions of 2-NBA photo-excitation and OH-oxidation in the absence and presence of small TiO2 clusters. To further understand the unknown photolysis mechanism, the photo-reaction pathways of ground singlet state and the lying excited triplet state of 2-NBA were investigated including the initial and subsequent reactions of proton transfer, direct CO, NO2, and HCO elimination routes in the presence of O2 and NO. Meanwhile, the OH-mediated degradation of 2-NBA proceeded via five H-extraction and six OH-addition channels by indirect mechanism, which follows a succession of reaction steps initiated by the formation of weakly stable intermediate complexes. The H-extraction from the –CHO group was the dominant pathway with a negative activation energy of -1.22 kcal/mol. The calculated rate coefficients at 200–600 K were close to the experimental data in literature within 308–352 K, and the kinetic negative temperature independence was found in both experimental literature and computational results. Interestingly, 2-NBA was favored to be captured onto small TiO2 clusters via six adsorption configurations formed via various combination of three types of bonds of Ti···O, Ti···C, and O···H between the molecularly adsorbed 2-NBA and TiO2 clusters. Comparison indicted that the chemisorptions of aldehyde oxygen have largest energies. The results suggested adsorption conformations have a respectable impact on the catalysis barrier. This study is significant for understanding the atmospheric chemistry of 2-nitrobenzaldehyde.",https://www.sciencedirect.com/science/article/abs/pii/S1001074223002097,"{'country': 'China', 'school': 'Shenyang Normal University'}"
"Experimental and theoretical insight into carbamazepine degradation by chlorine‐based advanced oxidation processes: Efficiency, energy consumption, mechanism and DBPs formation",Journal,Liu C.,10.1016/j.jes.2023.05.012,2024,"Chlorine has been widely used in different advanced oxidation processes (AOPs) for micropollutants removal. In this study, different chlorine-based AOPs, namely medium pressure (MP) UV/chlorine, low pressure (LP) UV/chlorine, and in-situ chlorination, were compared for carbamazepine (CBZ) removal efficiency, energy consumption, and disinfection by-products (DBPs) formation. All three processes could achieve nearly 100% CBZ removal, while the reaction time needed by in-situ chlorination was double the time required by UV/chlorine processes. The energy consumed per magnitude of CBZ removed (EE/O) of MP UV/chlorine was 13 times higher than that of LP UV/chlorine, and relative to that of in-situ chlorination process. Accordingly, MP and LP UV/chlorine processes generated one to two orders of magnitude more hydroxyl radicals (•OH) and reactive chlorine species (RCS) than in-situ chlorination. Besides, RCS were the dominant reactive species, contributing to 78.3%, 75.6%, and 71.6% of CBZ removal in MP, LP UV/chlorine, and in-situ chlorination, respectively. According to the Gibbs free energy barriers between CBZ and RCS/•OH calculated based on density functional theory (DFT), RCS had more reaction routes with CBZ and showed lower energy barrier in the main CBZ degradation pathways like epoxidation and formation of iminostilbene. When applied to secondary wastewater effluent, UV/chlorine and in-situ chlorination produced overall DBPs ranging from 104.77 to 135.41 µg/L. However, the production of chlorate during UV/chlorine processes was 15 times higher than that during in-situ chlorination.",https://www.sciencedirect.com/science/article/abs/pii/S1001074223002115,"{'country': 'China', 'school': 'Key Laboratory of Ministry of Education for Coal Processing and Efficient Clean Utilization'}"
Ferrihydrite transformation impacted by coprecipitation of lignin: Inhibition or facilitation?,Journal,Liu L.,10.1016/j.jes.2023.05.016,2024,"Lignin is a common soil organic matter that is present in soils, but its effect on the transformation of ferrihydrite (Fh) remains unclear. Organic matter is generally assumed to inhibit Fh transformation. However, lignin can reduce Fh to Fe(II), in which Fe(II)-catalyzed Fh transformation occurs. Herein, the effects of lignin on Fh transformation were investigated at 75°C as a function of the lignin/Fh mass ratio (0-0.2), pH (4-8) and aging time (0-96 hr). The results of Fh-lignin samples (mass ratios = 0.1) aged at different pH values showed that for Fh-lignin the time of Fh transformation into secondary crystalline minerals was significantly shortened at pH 6 when compared with pure Fh, and the Fe(II)-accelerated transformation of Fh was strongly dependent on pH. Under pH 6, at low lignin/Fh mass ratios (0.05-0.1), the time of secondary mineral formation decreased with increasing lignin content. For high lignosulfonate-content material (lignin:Fh = 0.2), Fh did not transform into secondary minerals, indicating that lignin content plays a major role in Fh transformation. In addition, lignin affected the pathway of Fh transformation by inhibiting goethite formation and facilitating hematite formation. The effect of coprecipitation of lignin on Fh transformation should be useful in understanding the complex iron and carbon cycles in a soil environment.",https://www.sciencedirect.com/science/article/abs/pii/S1001074223002176,"{'country': 'China', 'school': 'Central South University'}"
Single-atom Ag-loaded carbon nitride photocatalysts for efficient degradation of acetaminophen: The role of Ag-atom and O<inf>2</inf>,Journal,Yuan Y.,10.1016/j.jes.2023.03.042,2024,"Carbon nitride has been extensively used as a visible-light photocatalyst, but it has the disadvantages of a low specific surface area, rapid electron–hole recombination, and relatively low light absorbance. In this study, single-atom Ag was successfully anchored on ultrathin carbon nitride (UTCN) via thermal polymerization, the catalyst obtained is called AgUTCN. The Ag hardly changed the carbon nitride's layered and porous physical structure. AgUTCN exhibited efficient visible-light photocatalytic performances in the degradation of various recalcitrant pollutants, eliminations of 85% were achieved by visible-light irradiation for 1 hr. Doping with Ag improved the photocatalytic performance of UTCN by narrowing the forbidden band gap from 2.49 to 2.36 eV and suppressing electron–hole pair recombination. In addition, Ag doping facilitated O2 adsorption on UTCN by decreasing the adsorption energy from −0.2 to −2.22 eV and favored the formation of O2·−. Electron spin resonance and radical-quenching experiments showed that O2·− was the major reactive species in the degradation of Acetaminophen (paracetamol, APAP).",https://www.sciencedirect.com/science/article/abs/pii/S1001074223001547,"{'country': 'China', 'school': 'Tsinghua University'}"
An all-in-one FeO<inf>x</inf>-rGO sponge fabricated by solid-phase microwave thermal shock for water evaporation and purification,Journal,Sun Y.,10.1016/j.jes.2023.04.023,2024,"Developing high-efficiency photothermal seawater desalination devices is of significant importance in addressing the shortage of freshwater. Despite much effort made into photothermal materials, there is an urgent need to design a rapidly synthesized photothermal evaporator for the comprehensive purification of complex seawater. Therefore, we report on all-in-one FeOx-rGO photothermal sponges synthesized via solid-phase microwave thermal shock. The narrow band gap of the semiconductor material Fe3O4 greatly reduces the recombination of electron-hole pairs, enhancing non-radiative relaxation light absorption. The abundant π orbitals in rGO promote electron excitation and thermal vibration between the lattices. Control of the surface hydrophilicity and hydrophobicity promotes salt resistance while simultaneously achieving the purification of various complex polluted waters. The optimized GFM-3 sponge exhibitedan enhanced photothermal conversion rate of 97.3% and a water evaporation rate of 2.04 kg/(m2·hr), showing promising synergistic water purification properties. These findings provide a highly efficient photothermal sponge for practical applicationsof seawater desalination and purification,as well as develop a super-rapid processing methodology for evaporation devices.",https://www.sciencedirect.com/science/article/abs/pii/S1001074223001869,"{'country': 'China', 'school': 'University of Shanghai for Science and Technology'}"
A combined evaluation of the characteristics and antibiotic resistance induction potential of antibiotic wastewater during the treatment process,Journal,Miao S.,10.1016/j.jes.2023.04.002,2024,"Antibiotic wastewater contains a variety of pollutant stressors that can induce and promote antibiotic resistance (AR) when released into the environment. Although these substances are mostly in concentrations lower than those known to induce AR individually, it is possible that antibiotic wastewater discharge might still promote the AR transmission risk via additive or synergistic effects. However, the comprehensive effect of antibiotic wastewater on AR development has rarely been evaluated, and its treatment efficiency remains unknown. Here, samples were collected from different stages of a cephalosporin production wastewater treatment plant, and the potential AR induction effect of their chemical mixtures was explored through the exposure of the antibiotic-sensitive E. coli K12 strain. Incubation with raw cephalosporin production wastewater significantly promoted mutation rates (3.6 × 103–9.3 × 103-fold) and minimum inhibition concentrations (6.0–6.7-fold) of E. coli against ampicillin and chloramphenicol. This may be attributed to the inhibition effect and oxidative stress of cephalosporin wastewater on E. coli. The AR induction effect of cephalosporin wastewater decreased after the coagulation sedimentation treatment and was completely removed after the full treatment process. A Pearson correlation analysis revealed that the reduction in the AR induction effect had a strong positive correlation with the removal of organics and biological toxicity. This indicates that the antibiotic wastewater treatment had a collaborative processing effect of conventional pollutants, toxicity, and the AR induction effect. This study illustrates the potential AR transmission risk of antibiotic wastewater and highlights the need for its adequate treatment.",https://www.sciencedirect.com/science/article/abs/pii/S1001074223001572,"{'country': 'China', 'school': 'Tsinghua University'}"
Development and evaluation of an online monitoring single-particle optical particle counter with polarization detection,Journal,Yao W.,10.1016/j.jes.2023.04.010,2024,"We developed a single-particle optical particle counter with polarization detection (SOPC) for the real-time measurement of the optical size and depolarization ratio (defined as the ratio of the vertical component to the parallel component of backward scattering) of atmospheric particles, the polarization ratio (DR) value can reflect the irregularity of the particles. The SOPC can detect aerosol particles with size larger than 500 nm and the maximum particle count rate reaches ∼1.8 × 105 particles per liter. The SOPC uses a modulated polarization laser to measure the optical size of particles according to forward scattering signal and the DR value of the particles by backward S and P signal components. The sampling rate of the SOPC was 106 #/(sec·channel), and all the raw data were processed online. The calibration curve was obtained by polystyrene latex spheres with sizes of 0.5-10 µm, and the average relative deviation of measurement was 3.96% for sub 3 µm particles. T-matrix method calculations showed that the DR value of backscatter light at 120° could describe the variations in the aspect ratio of particles in the above size range. We performed insitu observations for the evaluation of the SOPC, the mass concentration constructed by the SOPC showed good agreement with the PM2.5 measurements in a nearby state-controlled monitoring site. This instrument could provide useful data for source appointment and regulations against air pollution.",https://www.sciencedirect.com/science/article/abs/pii/S1001074223001651,"{'country': 'China', 'school': 'University of Chinese Academy of Sciences'}"
Elaborations of the influencing factors on the formation of secondary inorganic aerosols in a heavily polluted urban area of China,Journal,Wang S.,10.1016/j.jes.2023.03.022,2024,"In this study, online water-soluble inorganic ions were detected to deduce the formation mechanism of secondary inorganic aerosol in Xianyang, China during wintertime. The dominant inorganic ions of sulfate (SO42−), nitrate (NO3−), and ammonium (NH4+) (the sum of those is abbreviated as SNA) accounted for 17%, 21%, and 12% of PM2.5 mass, respectively. While the air quality deteriorated from excellent to poor grades, the precursor gas sulfur dioxide (SO2) of SO42- increased and then decreased with a fluctuation, while nitrogen dioxide (NO2) and ammonia (NH3), precursors of NO3− and NH4+, and SNA show increasing trends. Meteorological factors including boundary layer height (BLH), temperature, and wind speed also show decline trends, except relative humidity (RH). Meanwhile, the secondary conversion ratio shows a remarkable increasing trend, indicating that there was a strong secondary transformation. From the perspective of chemical mechanisms, RH is positively correlated with sulfur oxidation ratios (SOR), nitrogen oxidation ratios (NOR), and ammonia conversion ratios, representing that the increase of humidity could promote the generation of SNA. Notably, SOR and NOR were also positively related to the ammonia. On the one hand, the low wind speed and BLH led to the accumulation of pollutants. On the other hand, the increases of RH and ammonia promoted more formations of SNA and PM2.5. The results advance our identification of the contributors to the haze episodes and assist to establish more efficient emission controls in Xianyang, in addition to other cities with similar emission and geographical characteristics.",https://www.sciencedirect.com/science/article/abs/pii/S1001074223001328,"{'country': 'China', 'school': 'Institute of Earth Environment'}"
Facile low-temperature supercritical carbonization method to prepare high-loading nickel single atom catalysts for efficient photodegradation of tetracycline,Journal,Qiao H.,10.1016/j.jes.2023.03.020,2024,"Environmental photocatalysis is a promising technology for treating antibiotics in wastewater. In this study, a supercritical carbonization method was developed to synthesize a single-atom photocatalyst with a high loading of Ni (above 5 wt.%) anchored on a carbon-nitrogen-silicate substrate for the efficient photodegradation of a ubiquitous environmental contaminant of tetracycline (TC). The photocatalyst was prepared from an easily obtained metal-biopolymer-inorganic supramolecular hydrogel, followed by supercritical drying and carbonization treatment. The low-temperature (300°C) supercritical ethanol treatment prevents the excessive structural degradation of hydrogel and greatly reduces the metal clustering and aggregation, which contributed to the high Ni loading. Atomic characterizations confirmed that Ni was present at isolated sites and stabilized by Ni-N and Ni-O bonds in a Ni-(N/O)6C/SiC configuration. A 5% Ni-C-Si catalyst, which performed the best among the studied catalysts, exhibited a wide visible light response with a narrow bandgap of 1.45 eV that could efficiently and repeatedly catalyze the oxidation of TC with a conversion rate of almost 100% within 40 min. The reactive species trapping experiments and electron spin resonance (ESR) tests demonstrated that the h+, and ·O2− were mainly responsible for TC degradation. The TC degradation mechanism and possible reaction pathways were provided also. Overall, this study proposed a novel strategy to synthesize a high metal loading single-atom photocatalyst that can efficiently remove TC with high concentrations, and this strategy might be extended for synthesis of other carbon-based single-atom catalysts with valuable properties.",https://www.sciencedirect.com/science/article/abs/pii/S1001074223001341,"{'country': 'China', 'school': 'Southern University of Science and Technology'}"
Biotoxicity dynamic change and key toxic organics identification of coal chemical wastewater along a novel full-scale treatment process,Journal,Ma W.,10.1016/j.jes.2023.04.011,2024,"It is particularly important to comprehensively assess the biotoxicity variation of industrial wastewater along the treatment process for ensuring the water environment security. However, intensive studies on the biotoxicity reduction of industrial wastewater are still limited. In this study, the toxic organics removal and biotoxicity reduction of coal chemical wastewater (CCW) along a novel full-scale treatment process based on the pretreatment process-anaerobic process-biological enhanced (BE) process-anoxic/oxic (A/O) process-advanced treatment process was evaluated. This process performed great removal efficiency of COD, total phenol, NH4+-N and total nitrogen. And the biotoxicity variation along the treatment units was analyzed from the perspective of acute biotoxicity, genotixicity and oxidative damage. The results indicated that the effluent of pretreatment process presented relatively high acute biotoxicity to Tetrahymena thermophila. But the acute biotoxicity was significantly reduced in BE-A/O process. And the genotoxicity and oxidative damage to Tetrahymena thermophila were significantly decreased after advanced treatment. The polar organics in CCW were identified as the main biotoxicity contributors. Phenols were positively correlated with acute biotoxicity, while the nitrogenous heterocyclic compounds and polycyclic aromatic hydrocarbons were positively correlated with genotoxicity. Although the biotoxicity was effectively reduced in the novel full-scale treatment process, the effluent still performed potential biotoxicity, which need to be further explored in order to reduce environmental risk.",https://www.sciencedirect.com/science/article/abs/pii/S1001074223001687,"{'country': 'China', 'school': 'Qingdao University of Technology'}"
