title,authors,schools,countries,year of publication,abstract text,url,citation count
"Atmospheric chemistry of 2-nitrobenzaldehyde: Initiated by photo-excitation, OH-oxidation, and small TiO<inf>2</inf> clusters adsorption catalysis",Bai F.Y.,Shenyang Normal University,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074223002097,0
"Experimental and theoretical insight into carbamazepine degradation by chlorine‐based advanced oxidation processes: Efficiency, energy consumption, mechanism and DBPs formation",Liu C.,Key Laboratory of Ministry of Education for Coal Processing and Efficient Clean Utilization,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074223002115,0
Ferrihydrite transformation impacted by coprecipitation of lignin: Inhibition or facilitation?,Liu L.,Central South University,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074223002176,0
Single-atom Ag-loaded carbon nitride photocatalysts for efficient degradation of acetaminophen: The role of Ag-atom and O<inf>2</inf>,Yuan Y.,Tsinghua University,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074223001547,0
An all-in-one FeO<inf>x</inf>-rGO sponge fabricated by solid-phase microwave thermal shock for water evaporation and purification,Sun Y.,University of Shanghai for Science and Technology,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074223001869,0
A combined evaluation of the characteristics and antibiotic resistance induction potential of antibiotic wastewater during the treatment process,Miao S.,Tsinghua University,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074223001572,0
Development and evaluation of an online monitoring single-particle optical particle counter with polarization detection,Yao W.,University of Chinese Academy of Sciences,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074223001651,0
Elaborations of the influencing factors on the formation of secondary inorganic aerosols in a heavily polluted urban area of China,Wang S.,Institute of Earth Environment,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074223001328,0
Facile low-temperature supercritical carbonization method to prepare high-loading nickel single atom catalysts for efficient photodegradation of tetracycline,Qiao H.,Southern University of Science and Technology,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074223001341,0
Biotoxicity dynamic change and key toxic organics identification of coal chemical wastewater along a novel full-scale treatment process,Ma W.,Qingdao University of Technology,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074223001687,0
Photo-thermal synergistic excitation: Feasible strategy to detect ethanol for wide bandgap ZIF-8 at low work temperature,Shi S.,Kunming University of Science and Technology,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074223001067,0
"Water-soluble brown carbon in atmospheric aerosols from the resource-dependent cities: Optical properties, chemical compositions and sources",Wang H.,Inner Mongolia University China,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074223000827,0
Fe/S oxidation-coupled arsenic speciation transformation mediated by AMD enrichment culture under different pH conditions,Zhou Y.h.,Central South University,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074223001134,0
Selective immobilization of Pb(II) by biogenic whewellite and its mechanism,Wang X.,Nanjing Normal University,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074223001195,0
Effects of combustion temperature on the optical properties of brown carbon from biomass burning,Gao P.,University of Chinese Academy of Sciences,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074222006428,0
An ultra-porous g-C<inf>3</inf>N<inf>4</inf> micro-tube coupled with MXene (Ti<inf>3</inf>C<inf>2</inf>T<inf>X</inf>) nanosheets for efficient degradation of organics under natural sunlight,Ya Z.,Nanjing Tech University,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074222005502,0
Simulation of gas-solids heat transfer in cyclone pyrolyzer using CFD-DEM model,Zhang N.,Taiyuan University of Technology,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1674200123000998,0
Comprehensive study on the spatial distribution of heavy metals and their environmental risks in high-sulfur coal gangue dumps in China,Dong Y.,University of Science and Technology Beijing,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074222006374,0
The biochemical behavior and mechanism of uranium(Ⅵ) bioreduction induced by natural Bacillus thuringiensis,Chen S.,Sichuan University,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074222006167,0
"Photodegradation of xylene isomers: Kinetics, mechanism, secondary pollutant formation potential and health risk evaluation",Chen X.,Guangdong University of Technology,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074223000025,0
"Steam disinfection enhances bioaccessibility of metallic nanoparticles in nano-enabled silicone-rubber baby bottle teats, pacifiers, and teethers",Su Y.,Nanjing University,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074222004053,0
Cardiac energy metabolism disorder mediated by energy substrate imbalance and mitochondrial damage upon tebuconazole exposure,Ku T.,Shanxi University,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074222005022,1
Aerosol-radiation interaction and its variation in North China within 2015–2019 period under continuous PM<inf>2.5</inf> improvements,Lv Z.,Key Laboratory of Beijing on VOC Pollution Control Technology and Application of Urban Atmosphere,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S1001074222006088,0
Biochemical tracers in spiny icefish (Chaenodraco wilsoni) as indicators of variability in the diet of Antarctic krill (Euphausia superba) in a highly dynamic environment,Yang Q.,Shanghai Ocean University,China,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/S0924796323000519,0
"Organic chemical Nano sensors: synthesis, properties, and applications",Mahmoud Z.H.,Diyala's University,Iraq,2024,N/A,https://www.sciencedirect.com/science/article/abs/pii/None,0
